,County,CST,DEM,LIB,REP,Asian,Biracial,Black,Indian American,Other,Undesignated,White,DorR
0,ALAMANCE,282,41979,756,42918,0.008235971844677671,0.007254856073016616,0.19710525842049362,0.002484293146591298,0.024842931465912977,0.11277430736826946,0.6473023816810384,R
1,ALEXANDER,75,4980,152,14980,0.005927824728641807,0.001762326270677294,0.03756959186125686,0.0014819561821604519,0.01001321744703008,0.0767012456442504,0.8665438378659831,R
2,ALLEGHANY,23,1929,47,4085,0.000655307994757536,0.0020969855832241153,0.009960681520314547,0.0010484927916120576,0.00943643512450852,0.09226736566186107,0.8845347313237222,R
3,ANSON,38,6116,75,4977,0.004601135345085151,0.001434120107559008,0.4073498655512399,0.0016731401254855094,0.00717060053779504,0.17693456827009263,0.40083657006274276,D
4,ASHE,60,4967,128,10622,0.002043944813490036,0.001021972406745018,0.005620848237097598,0.0012263668880940215,0.006438426162493613,0.07235564639754727,0.9112927950945324,R
5,AVERY,26,2407,90,6894,0.0014502094747019013,0.002336448598130841,0.0058814050918466,0.001530776667740896,0.006445375443119562,0.08773767321946503,0.8946181115049952,R
6,BEAUFORT,79,10291,152,15710,0.001231599319687995,0.0027271127793091314,0.2276112837956718,0.0011729517330361856,0.013958125623130608,0.07319218814145798,0.6801067386077063,R
7,BERTIE,13,6080,41,3654,0.002542626383487885,0.001944361352078971,0.5836823212683219,0.0014208794495961712,0.004113072090936285,0.060200418785521986,0.34609632067005686,D
8,BLADEN,48,7784,105,9096,0.0009535780850418274,0.004117723549044255,0.35017987950240564,0.01785791686532877,0.01586407177842313,0.05457067313943912,0.5564561570803173,R
9,BRUNSWICK,410,36818,850,51703,0.003079840961884793,0.0025056333249232213,0.07534300206192743,0.0030015399204809425,0.011597254243481438,0.10357487754587136,0.8008978519414308,R
10,BUNCOMBE,622,99395,2272,58153,0.006191085991584745,0.006205528649418924,0.05213318056210824,0.001848660202774916,0.020301562695577657,0.09873000895444786,0.8145899729440876,D
11,BURKE,169,15028,364,28898,0.015173311412522263,0.002346211809836964,0.05519591724893821,0.0015413070283600493,0.017930538429921906,0.07516440608302508,0.8326483079873955,R
12,CABARRUS,506,54665,1484,59682,0.016707251531055716,0.005765925965245201,0.1824593764306994,0.002448362118728975,0.027993603736903915,0.13145514985435894,0.6331703303630078,R
13,CALDWELL,145,11926,368,30234,0.003265946577142023,0.0027185812290176615,0.04979200116771274,0.0012406947890818859,0.012936067727339075,0.07312801050941468,0.856918698000292,R
14,CAMDEN,26,1600,87,4200,0.004521016617790812,0.002565982404692082,0.11852394916911047,0.0013440860215053765,0.013807429130009775,0.06317204301075269,0.7960654936461388,R
15,CARTERET,154,13293,388,28689,0.0043188289476198665,0.0029238089778134495,0.042748762636396646,0.0017007777714078236,0.008007032429436832,0.0908482868008179,0.8494525024365075,R
16,CASWELL,32,5285,69,6634,0.0014825319066649478,0.0032228954492716255,0.3124274848523914,0.0014180739976795153,0.008895191439989687,0.07535129560397061,0.5972025267500323,R
17,CATAWBA,351,28267,828,53802,0.019704433497536946,0.003806955261395639,0.08298245131225289,0.0011650200438487858,0.028978726917467043,0.08855069671867977,0.774811716248819,R
18,CHATHAM,115,28128,364,19937,0.012543722108310215,0.0049278908282647275,0.10451953064424419,0.0021537984389268915,0.022072126402122784,0.13284628771301066,0.7209366438651206,D
19,CHEROKEE,59,3772,171,12349,0.003524073829346725,0.0018060878375401965,0.010396017796572838,0.00585877274128893,0.007356504118761288,0.0404827981146205,0.9305757455618695,R
20,CHOWAN,15,3399,43,4308,0.0018368136117556072,0.002223511214230472,0.2965970610982212,0.001160092807424594,0.0075406032482598605,0.05868136117556071,0.6319605568445475,R
21,CLAY,34,1761,69,4994,0.00120415982484948,0.0010946907498631637,0.004707170224411604,0.001751505199781062,0.005473453749315818,0.0548440065681445,0.9309250136836343,R
22,CLEVELAND,145,18549,399,32031,0.003787432209384579,0.003816906390002358,0.20217814194765385,0.001429497759962273,0.010610705022400376,0.08719936335769865,0.6909779533128979,R
23,COLUMBUS,84,10309,139,15713,0.001481242088820662,0.0026931674342193855,0.29277423177398937,0.025908270717190488,0.011419029921090194,0.06345102475020872,0.6022730333144811,R
24,CRAVEN,222,22436,584,29614,0.013670726872547813,0.005044498215970143,0.20311965987231542,0.002324023568333128,0.023294918590821473,0.07361686420866997,0.678929308671342,R
25,CUMBERLAND,850,88278,2168,55197,0.014543648526296358,0.01213069505366514,0.3916456430586932,0.010618753351324268,0.0509621047634954,0.11805891298423889,0.40204024226228674,D
26,CURRITUCK,95,4382,255,11293,0.0025621082490735235,0.0037516585075719447,0.050418630187125404,0.002196092784920163,0.013771331838770188,0.06336642723155053,0.8639337512009883,R
27,DARE,94,10485,290,13151,0.0031099053794746245,0.002183550585588566,0.01760074108383511,0.0012241116919208628,0.012505789717461788,0.07271885132005558,0.8906570502216634,R
28,DAVIDSON,265,26598,796,60771,0.0058510357914711925,0.002661957724948606,0.09093704426053802,0.002284188146820586,0.01561154744961608,0.09610282360796303,0.7865514030186425,R
29,DAVIE,70,7904,200,17104,0.0033318525099955577,0.0026654820079964462,0.06006854096591991,0.0011423494319984769,0.01158215396331789,0.10039982230119947,0.8208097988195723,R
30,DUPLIN,62,9164,119,13295,0.002225806451612903,0.004064516129032258,0.27616129032258063,0.0017741935483870969,0.031,0.09670967741935484,0.5880645161290322,R
31,DURHAM,541,147110,1955,29989,0.032986125272233414,0.014086804734210461,0.32314004420989095,0.0024674339502597942,0.02926662153233766,0.14248717342186187,0.45556579687920584,D
32,EDGECOMBE,68,16786,108,8487,0.001145347375478392,0.0038830069558901583,0.578875324747884,0.001983406430706484,0.012319468111852949,0.05698801575551024,0.3448054306226779,D
33,FORSYTH,841,118663,2345,78475,0.010549712913053668,0.007027038903210687,0.25535358565737054,0.0019627372861495194,0.02738311460042184,0.10795421256151863,0.5897695980782751,D
34,FRANKLIN,133,17427,385,19400,0.004146857394181833,0.004398182084738308,0.23517707918822126,0.002827402768760341,0.018451421031687856,0.12528535824240267,0.6097136992900077,R
35,GASTON,474,44074,1213,69158,0.007398549201009252,0.0052565180824222036,0.16452901597981498,0.002247161480235492,0.022557033221194282,0.102272129941127,0.6957395920941968,R
36,GATES,39,2679,52,3163,0.0013146886578223975,0.005975857535556352,0.3146886578223975,0.002151308712800287,0.008366200549778893,0.06525636428827537,0.6022469224333692,R
37,GRAHAM,15,1104,36,3489,0.0009775171065493646,0.001466275659824047,0.0008145975887911372,0.044639947865754315,0.005050505050505051,0.03698273053111763,0.9100684261974584,R
38,GRANVILLE,100,15756,281,15411,0.003743090156416549,0.0049577353065119855,0.2979846805979029,0.0019335167695396743,0.02067375622815498,0.09920428348330483,0.5715029374581692,D
39,GREENE,22,3991,44,4678,0.0016698892599753912,0.0031640007031112673,0.35480752329056076,0.0009667779926173317,0.03374934083318685,0.06574090349797855,0.5399015644225699,R
40,GUILFORD,1154,180160,3305,97973,0.02197673754149372,0.008901344942051647,0.3339523841682294,0.002636377331830295,0.02828066639307217,0.0916758009132515,0.5125766887100712,D
41,HALIFAX,65,16098,132,9403,0.004700877146908976,0.004385734544881559,0.5173853668785126,0.028572929250485844,0.008823992856767687,0.056646882714428276,0.3794842166080151,D
42,HARNETT,275,23987,771,33049,0.006410101059060175,0.007597605603082665,0.2063107384339481,0.005683057460679058,0.03752756706977195,0.13428495262099216,0.6021859777524659,R
43,HAYWOOD,121,14779,374,21185,0.002989504473503097,0.0026453888506538198,0.010172918100481761,0.0025378527185134204,0.006903819683413627,0.05746730901582932,0.9172832071576049,R
44,HENDERSON,260,29144,758,38028,0.00518737245334215,0.004685736435876096,0.027441770319108914,0.0017101227868160933,0.01737484751405151,0.08715925803472689,0.8564408924560784,R
45,HERTFORD,25,7212,49,3282,0.0025247491861005913,0.0050494983722011826,0.6133811706863331,0.006444754501362036,0.009434589063849579,0.05102650986645406,0.31213872832369943,D
46,HOKE,112,12597,344,8475,0.00902197044630279,0.009621436921140186,0.3739771603273087,0.06138536702334922,0.06144531367083296,0.08683271888019663,0.39771603273086953,D
47,HYDE,6,1111,15,1351,0.000315357931251971,0.00315357931251971,0.20245979186376536,0.000315357931251971,0.007883948281299276,0.06780195521917376,0.718070009460738,R
48,IREDELL,433,36375,1227,63962,0.008958643601787147,0.00410127162332455,0.10727460190170696,0.001657310879443999,0.020506358116622752,0.0957116126322221,0.7617902012448925,R
49,JACKSON,101,10406,320,10519,0.00768172822112643,0.00872161282747979,0.022944550669216062,0.049042299822213274,0.014189393177015196,0.0901680587702526,0.8072523565126967,R
50,JOHNSTON,462,45165,1137,64310,0.004769386932157904,0.0050752951318881485,0.15697957367520893,0.002767078715741758,0.02758735764840024,0.120068968394121,0.682752339502482,R
51,JONES,16,2333,35,3128,0.002837454398054317,0.0032428050263477908,0.30982299689231185,0.002026753141467369,0.009863531955141197,0.0691798405620862,0.6030266180245912,R
52,LEE,117,13522,285,14937,0.005572036630981556,0.008254869082935637,0.1915129627241068,0.0036630981555526893,0.043596027344253836,0.11536179543402554,0.6320392106281439,R
53,LENOIR,58,14208,176,13906,0.0026186833985843553,0.003992843993881097,0.4049625346781094,0.0017112188545204698,0.01511576654826415,0.07363426586118385,0.49796468666545673,D
54,LINCOLN,218,14730,449,34711,0.003602971654497338,0.0027899116793674073,0.05090393138411504,0.0014029270159104678,0.01669164301884386,0.10262092274336002,0.8219876925039059,R
55,MACON,89,7062,200,13333,0.003593560925525283,0.0024201532763741705,0.006637087015510982,0.0020901323750504197,0.010707344798503906,0.05581020131274981,0.9187415202962854,R
56,MADISON,56,5489,154,7352,0.0022572056951036,0.003935640699154995,0.010302118300729251,0.0018520662113670563,0.008392175020256975,0.08762588262530385,0.8856349114480843,R
57,MARTIN,30,6277,52,6154,0.0013922518159806296,0.003208232445520581,0.412772397094431,0.0017554479418886199,0.008837772397094431,0.04697336561743341,0.5250605326876513,D
58,MCDOWELL,85,6851,203,15761,0.004209682269219204,0.005245397748154088,0.027463165280144333,0.0011025358324145535,0.012996558751795798,0.04156225986435468,0.9074204002539173,R
59,MECKLENBURG,2439,382726,8145,171123,0.024359948249124783,0.00834589942340858,0.3089759046010156,0.0026719475738942785,0.04123063278924368,0.1077068239852961,0.5067088433780169,D
60,MITCHELL,25,2090,59,6827,0.0010759436922801041,0.00134492961535013,0.002958845153770286,0.0009862817179234287,0.005828028333183897,0.09244149556173227,0.8953644759257599,R
61,MONTGOMERY,39,5069,96,7622,0.00943285680806187,0.0030466369814858216,0.19006327630653855,0.002519334426997891,0.025955003515350364,0.0800328099367237,0.6889500820248418,R
62,MOORE,232,22974,610,34311,0.0068221268350444715,0.003794555754403434,0.10753932478436966,0.004534628685226799,0.0223367466393961,0.0707778839296527,0.7841947333719068,R
63,NASH,134,27692,306,24062,0.0042327272727272726,0.005003636363636364,0.38727272727272727,0.004814545454545454,0.019927272727272727,0.07550545454545454,0.5032436363636363,D
64,NEW HANOVER,572,69554,1845,59305,0.007193313258098106,0.005870599161342977,0.11588101201699828,0.0021669996904286155,0.01769622604339628,0.10496158500548786,0.7462302648242479,D
65,NORTHAMPTON,30,6313,52,3689,0.0007174115790228855,0.002223975894970945,0.5595092904799484,0.002295717052873233,0.004591434105746466,0.0513666690580386,0.37929550182939953,D
66,ONSLOW,533,25653,1454,43838,0.011459174565392952,0.008084328643685978,0.16096399880987802,0.0035108598631359714,0.041934798316827476,0.1052917924087219,0.6687550473923577,R
67,ORANGE,176,65042,787,18810,0.0427999288002848,0.012406550373798505,0.1050996796012816,0.0022872908508365965,0.02822178711285155,0.13055357778568885,0.6786311854752581,D
68,PAMLICO,25,2881,48,4672,0.0033759590792838876,0.002864450127877238,0.15754475703324808,0.002762148337595908,0.008695652173913044,0.06864450127877238,0.7561125319693095,R
69,PASQUOTANK,94,10061,207,9449,0.004832765454419025,0.006571170294138099,0.3429177386829845,0.0014950281621584035,0.016653918364508725,0.07266532230025728,0.5548640567415339,D
70,PENDER,154,12599,398,20854,0.002796644027167399,0.003329338127580237,0.13563723531761887,0.0023527322768233674,0.017068406800728016,0.10105650996581879,0.7377591334842634,R
71,PERQUIMANS,20,2637,58,4756,0.0014364867638005335,0.002462548737943772,0.20859839934332033,0.0021547301457008005,0.006258978042273753,0.05961420069772214,0.7194746562692387,R
72,PERSON,70,9301,142,12296,0.0021214627305742332,0.0043148394520153895,0.25482722663694224,0.004494624429182697,0.012692819388011938,0.08669231599007587,0.6348567113731977,R
73,PITT,285,48995,898,37210,0.008024721318901779,0.007126793832613373,0.33583296930867673,0.0019738225824718083,0.028054166868902587,0.08693717743370706,0.5320503486547267,D
74,POLK,42,4863,114,7280,0.002298711511705281,0.003206097634746839,0.040166959046639646,0.0006049240820277055,0.010707156251890388,0.06375899824572016,0.8792571532272699,R
75,RANDOLPH,253,18929,555,53176,0.006103014678802547,0.0027042668490556113,0.06133529752196559,0.0032198663650234126,0.027137370442468563,0.08251696743305098,0.8169832167096333,R
76,RICHMOND,86,9622,183,10740,0.004726122879194859,0.002720070721838768,0.32151235932134237,0.01428037128965353,0.019176498588963312,0.05477542416102819,0.582809153037979,R
77,ROBESON,141,22281,280,23888,0.00391819945067104,0.006938207000689915,0.2679345491467177,0.3488369065750251,0.03065568008747608,0.06153265383163458,0.28018380390778563,R
78,ROCKINGHAM,149,18197,415,28891,0.0026996805111821087,0.003338658146964856,0.18461661341853036,0.0017891373801916933,0.013993610223642173,0.09226837060702875,0.7012939297124601,R
79,ROWAN,320,25473,750,46676,0.004327583731566749,0.004163504727526304,0.16205878130319748,0.001999712861742929,0.017751297249625694,0.09721680989396395,0.7124823102323768,R
80,RUTHERFORD,121,10469,249,23437,0.0024988049193863803,0.0029333796879753163,0.09199947851027769,0.0014340967363434879,0.01264612576593803,0.08115683803398374,0.8073312763460954,R
81,SAMPSON,70,11890,174,16404,0.002257810448936729,0.003885534260960882,0.28009976371751116,0.014413231819375164,0.04108689944867419,0.08086111840378052,0.5773956419007613,R
82,SCOTLAND,61,7671,94,6821,0.00661231884057971,0.004302536231884058,0.3840126811594203,0.07617753623188406,0.008152173913043478,0.07418478260869565,0.44655797101449274,D
83,STANLY,117,9413,264,24022,0.009757004135111276,0.0018120150536635228,0.1014031501184779,0.0019281698647957998,0.010012544719602286,0.09926590159364401,0.7758212145147052,R
84,STOKES,65,6567,200,18849,0.0015314892952023754,0.003344272542584779,0.03791217377715268,0.0017815283638068448,0.007594936708860759,0.0795749335833724,0.8682606657290202,R
85,SURRY,96,10872,265,25366,0.0019701302828090245,0.002499735197542633,0.037538396356318185,0.0011227624192352505,0.01953182925537549,0.08854994174345938,0.84878720474526,R
86,SWAIN,32,3043,107,3847,0.0026743264659270997,0.003169572107765452,0.012381141045958796,0.15729001584786054,0.009805863708399367,0.05586370839936609,0.7588153724247226,R
87,TRANSYLVANIA,69,9226,230,10800,0.0026346494034400992,0.004328352591365878,0.03131469005231661,0.0018442545824080695,0.009221272912040349,0.07377018329632279,0.8768865971621063,R
88,TYRRELL,7,811,9,975,0.007478188616535106,0.0024927295388450354,0.2904029912754466,0.0029081844619858743,0.015371832156211051,0.07976734524304113,0.6015787287079352,R
89,UNION,489,51306,1371,77305,0.017455249038507193,0.005395042970419258,0.11438203314182613,0.002522434832154219,0.036429894117088454,0.1109990028963487,0.712816343003656,R
90,VANCE,52,13160,130,7608,0.002929490201360361,0.004007003838642333,0.5056569465957303,0.001952993467573574,0.01680247828136575,0.07542595460973803,0.3932251330055896,D
91,WAKE,2176,410386,7928,209183,0.03447976933079547,0.00844279441418691,0.18151254169572018,0.002379561401855656,0.038965003863332265,0.12980796411812373,0.6044123651759857,D
92,WARREN,21,6716,61,3497,0.0019210876311511749,0.003916063248115856,0.49431062509235996,0.04049061622580168,0.00945766218412886,0.061474804196837596,0.38842914142160484,D
93,WASHINGTON,13,3531,24,2623,0.0021598272138228943,0.0028797696184305254,0.4870410367170626,0.0013198944084473242,0.006839452843772498,0.05675545956323494,0.44300455963522917,D
94,WATAUGA,126,17642,482,13790,0.007365789997566857,0.010949147293680461,0.020040257470857574,0.0015704837532349754,0.015151850295295184,0.09637461567387025,0.8485478555154947,D
95,WAYNE,224,25589,447,29056,0.006420083068013574,0.005162270875096629,0.3213579130799366,0.0018212072376609933,0.03601797623259044,0.08338246662211915,0.5458380828845826,R
96,WILKES,94,9537,250,25469,0.0020474554678435743,0.0030939327069636237,0.036831448915986074,0.001091976249516573,0.01196623973428578,0.07341265327479127,0.871556293650613,R
97,WILSON,104,22014,262,18305,0.004443824826168029,0.003851314849345625,0.4049631423940888,0.0018646637505881534,0.02713347158566126,0.07746196608751721,0.48028161650663087,D
98,YADKIN,54,4777,159,14910,0.001940962393853619,0.001981399110392236,0.029963606955115244,0.0011726647796198948,0.020986655883542257,0.07848766680145572,0.865467044076021,R
99,YANCEY,39,4147,83,7105,0.0018334391086665257,0.0021860235526408576,0.005570834214794443,0.0014808546646921938,0.004372047105281715,0.07644030745363514,0.9081164939002891,R
